Organization Name,URL,Mission/Summary,Category 1: Integrated Student Support,Category 2: Expanded Learning & Cultural Relevance,Category 3: Family & Community Engagement,Category 4: Collaborative Leadership,Target Communities,Geographic Area,Address,Email,Phone,Additional Themes
Alliance for Education,https://www.alliance4ed.org/,"The Alliance for Education supports excellence in public education by advancing educational justice and racial equity for students in Seattle Public Schools. Since 1995, they develop innovative programs, invest in systemic change, and partner with the community to ensure all students experience belonging and reach their potential.",Yes,No,Yes,Yes,"Seattle Public Schools students, particularly those furthest from educational justice; focus on Black/African American male students; Title I school communities",Seattle,"509 Olive Way, Suite 500, Seattle, WA 98101-2556",info@alliance4ed.org,(206) 343-0449,"Food security, basic needs, teacher diversity, racial equity, educational justice, school leadership development"
Asian Counseling and Referral Services,https://www.acrs.org/,"ACRS is a social justice organization that promotes the health and well-being of Asians and Native Hawaiians/Pacific Islanders and other communities by providing and advocating for responsive community-based services.",Yes,Yes,Yes,Yes,"Asian Americans, Native Hawaiians/Pacific Islanders, and other underserved communities","Seattle, Washington","3639 Martin Luther King Jr. Way S, Seattle, WA 98144",info@acrs.org,(206) 695-7600,"Food security, immigrant rights, civic engagement, workforce development, behavioral health, problem gambling support"
Atlantic Street Family Resource Center,https://atlanticstreetcenter.org/,"Atlantic Street Center supports families and communities in raising healthy, successful children and youth through direct services and advocacy for social justice and equity. They provide wrap-around services including early education, family support, and behavioral health services to families in need.",Yes,Yes,Yes,Yes,"Families with children and youth in King County, Seattle, and North Pierce County; emphasis on underserved populations and families in need","King County, Seattle, and North Pierce County","2103 S. Atlantic St., Seattle, WA 98144",info@atlanticstreet.org,(206) 329-2050,"Youth development, early childhood education, family support, behavioral health, gender-based violence prevention, social justice advocacy"
Bike Works,https://bikeworks.org/,"Bike Works promotes the bicycle as a vehicle for change to empower youth and build resilient communities. The organization has operated since 1996, focusing on educating and empowering youth while making bicycling accessible and affordable to Seattle residents.",No,Yes,No,No,"Youth ages 9-17 and adults 18+; Seattle community members seeking affordable bicycle access and education","South Seattle, Columbia City neighborhood","3715 S Hudson St, Suite #111 (Lower Level), Seattle, WA 98118",info@bikeworks.org,(206) 695-2522,"Environmental sustainability, bicycle repair education, affordable bicycle services, youth mechanics education"
Black Education Strategy Roundtable,https://besrwa.org/,"BESR is a Washington-based organization focused on advancing educational equity for Black students. The organization works toward closing the opportunity gap through strategic initiatives and collaborative efforts with state agencies.",No,Yes,Yes,Yes,"Black students and families in Washington State; focus on educational equity and opportunity gaps",Washington State (statewide focus),"33530 1st Way S. Suite 102, Federal Way, WA 98003",Info@BESRWA.org,(253) 237-0775,"Educational equity, policy advocacy, legislative action, opportunity gap reduction"
Bureau of Fearless Ideas,http://fearlessideas.org/,"Bureau of Fearless Ideas is part of the 826 National network, providing free writing and tutoring programs for students. The organization uses creative writing to help young people develop literacy skills and confidence.",No,Yes,Yes,No,"Students ages 6-18 in Seattle","Seattle, Greenwood neighborhood","Information not available on website","Information not available on website","Information not available on website","Literacy development, creative writing, tutoring, volunteer-based programming"
Center for Ethical Leadership,https://volunteer.uwkc.org/agency/detail/?agency_id=59057,"The Center for Ethical Leadership cultivates leadership and builds capacity for change, helping communities tap collective wisdom in service of the common good. The organization focuses on ethical leadership development, creating inclusive spaces for dialogue, and advancing social change across sectors.",Yes,No,Yes,Yes,"Diverse populations historically excluded from leadership spaces; focus on race, ethnicity, age, and socioeconomic differences",Pacific Northwest and nationally,"1752 NW Market St., #952, Seattle, WA 98107",admin@ethicalleadership.org,"Information not available","Youth development, civic engagement, social justice, human rights, education, peacemaking circles, trauma-informed leadership"
CHAMPS Resource & Service Center,https://www.champsseattle.org/,"C.H.A.M.P.S (Changing Habits And Motivating Personal Self-esteem) is a Seattle-based nonprofit focused on community engagement and resident support. The organization operates through three core areas: Housing & Financial Stability, Public Health & Safety, and Community Participation.",No,Yes,Yes,No,"Southeast Seattle youth and families; Rainier Beach residents; underserved community members needing housing, healthcare, and financial stability support","Rainier Beach area of Southeast Seattle","7728 Rainier Avenue South, Seattle, WA 98118","Information not available",(206) 518-7444,"Housing and financial stability, public health and safety, transitional housing, resource referral, community events"
Chinese Information and Service Center,http://www.cisc-seattle.org/,"CISC helps immigrants throughout King County achieve success in their new community by providing information, referral, advocacy, social, and support services. The organization focuses on bridging cultures and creating opportunities for immigrant families.",Yes,Yes,Yes,Yes,"Immigrant families, youth, seniors, and disabled adults throughout King County",King County,"611 S Lane St, Seattle, WA 98104",info@cisc-seattle.org,(206) 624-5633,"Healthcare access, early childhood education, senior care services, hate/bias response, cultural preservation, immigration services"
City Fruit,https://www.cityfruit.org/,"City Fruit promotes and preserves urban fruit to nourish people, build community, and protect the environment. Since 2008, they have stewarded and harvested fruit from public and private trees across Seattle to support a more sustainable and just food system.",No,No,Yes,No,"Food-insecure populations in Seattle; schools; food banks; meals programs; community partners",Seattle,"4000 Aurora Ave N Suite 123, Seattle, WA 98103",info@cityfruit.org,(206) 922-3967,"Food security, equitable food access, urban agriculture, orchard stewardship, community fruit tree care, Coast Salish traditional foodways"
